,ROLES,COMPANIES,LOCATIONS,EXPERIENCE,SKILLS,DATES,PRESENTDATE,SALARY,LINKS,SPECIALITY,DESCRIPTION
390,Lead Software Engineer Mean Stack,BIZ2CREDIT INFO SERVICES PVT LTD,Delhi NCR,6-11 Yrs,"('Angular2+', 'Algorithms', 'NoSQL', 'Mean Stack', 'OOPS', 'Javascript', 'Node.Js', 'MongoDB')",16 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-lead-software-engineer-mean-stack-biz2credit-info-services-pvt-ltd-delhi-ncr-6-to-11-years-231120003394?src=jobsearchDesk&sid=16075355925839982&xp=11&px=20,PREMIUM,"Roles and ResponsibilitiesExcellent understanding of computer science fundamentals, dat..."
391,"Senior Software Engineer Cloud, Java/Python, Databases","ViaSat, Inc.",Chennai,10-15 Yrs,"('System architecture', 'Cloud computing', 'Hibernate', 'Linux', 'Database design', 'Data structures', 'Troubleshooting', 'SDLC')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-cloud-java-python-databases-viasat-inc-chennai-10-to-15-years-231020500892?src=jobsearchDesk&sid=16075355925839982&xp=12&px=20,NULL,"Job Responsibilities In this role, you will be part of a software development team task..."
392,Data engineer / Developer,NEEMTREE INTERNET PVT LTD,Mumbai,2-6 Yrs,"('MS SQL', 'NoSQL', 'MySQL', 'Disaster recovery', 'Schema', 'MongoDB', 'Business solutions', 'Distribution system')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-data-engineer-developer-neemtree-internet-pvt-ltd-mumbai-2-to-6-years-230920500189?src=jobsearchDesk&sid=16075355925839982&xp=13&px=20,NULL,Roles and responsibilities 1. Keep Databases running efficiently and accurately and hig...
393,Application Developer,Varite,Bengaluru,3-6 Yrs,"('IT Skills', 'Java', 'Python', 'PHP', 'Jenkins', 'Process automation', 'Maven', 'ERP')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-application-developer-varite-bengaluru-bangalore-3-to-6-years-220920500545?src=jobsearchDesk&sid=16075355925839982&xp=14&px=20,NULL,"Minimum of a Bachelor s Degree in Engineering, MCA or equivalent with 2+ years of exper..."
394,Sr. Software Engineer - Tools Development,Nutanix India Technologies Private Limited,Bengaluru,5-10 Yrs,"('BPO', 'troubleshooting', 'Computer science', 'SIDE', 'GIT', 'NoSQL', 'SOA', 'GCP')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-software-engineer-tools-development-nutanix-india-technologies-private-limited-bengaluru-bangalore-5-to-10-years-220920500380?src=jobsearchDesk&sid=16075355925839982&xp=15&px=20,NULL,"We are looking for candidates that are energetic, creative with strong technical skills..."
395,Staff Software Engineer - AdTech,Walmart Labs,Bengaluru,11-15 Yrs,"('IT Skills', 'Java', 'Python', 'Big Data', 'AWS', 'Product management', 'Computer science', 'Object oriented design')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-staff-software-engineer-adtech-walmart-labs-bengaluru-bangalore-11-to-15-years-220920500208?src=jobsearchDesk&sid=16075355925839982&xp=16&px=20,NULL,Data Store: Must have expertise in one of general purpose No-SQL data stores like Elast...
396,Senior Software Engineer,ClearGlass Analytics Limited,Bengaluru,5-10 Yrs,"('Computer science', 'TDD', 'Postgresql', 'Javascript', 'PHP', 'MongoDB', 'Open source', 'Ruby')",18 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-clearglass-analytics-limited-bengaluru-bangalore-5-to-10-years-211120500186?src=jobsearchDesk&sid=16075355925839982&xp=17&px=20,NULL,"As a Senior Software Engineer you will work closely with the Tech Lead, and the rest of..."
397,Senior Software Engineer,NEEMTREE INTERNET PVT LTD,Pune,5-8 Yrs,"('Version control', 'GIT', 'NoSQL', 'Analytical', 'MySQL', 'Scheduling', 'Object oriented programming', 'Monitoring')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-neemtree-internet-pvt-ltd-pune-5-to-8-years-211020500277?src=jobsearchDesk&sid=16075355925839982&xp=18&px=20,NULL,"Good knowledge of version control softwares, preferably GitHands on experience on API d..."
398,"Senior Software Engineer- Python, Azure",QuEST Global Engineering Services Private Limited,Bengaluru,6-9 Yrs,"('database management', 'API automation', 'IoT', 'Timescale DB', 'DevOps', 'ETL', 'Cloud', 'Microsoft Azure')",19 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-python-azure-quest-global-engineering-services-private-limited-bengaluru-bangalore-6-to-9-years-201120906199?src=jobsearchDesk&sid=16075355925839982&xp=19&px=20,PREFERRED,Experience Level
399,"Software Engineer(SQL, UNIX, Java)",Amdocs Development Center India Pvt. Ltd.,Pune,2-3 Yrs,"('Unix', 'Object oriented design', 'Linux', 'Machine learning', 'Javascript', 'PLSQL', 'Amdocs', 'Technical support')",19 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-sql-unix-java-amdocs-development-center-india-pvt-ltd-pune-2-to-3-years-201120501354?src=jobsearchDesk&sid=16075355925839982&xp=20&px=20,NULL,Bachelors degree in Science / IT/Computing or equivalent Minimum 2-3 years of experienc...
